a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,fecha,monto,score
4,0.6717,2201.4,1.0,0.0,10.0,AR,0,cat_a349b79,0.7290250494115859,1619.0,0.0,1,Y,N,2020-04-16 15:22:25,21.33,9
4,0.7292,23901.03,50.0,1.1782119597394909,0.0,BR,18,cat_79af8f3,0.0721831346646482,417.0,413.0,0,,N,2020-04-16 15:35:40,3.24,75
4,0.6385,76130.13,11.0,0.2753649972278691,0.0,BR,4,cat_ffe7351,0.9447355119207614,53.0,52.0,0,,N,2020-04-16 15:45:24,10.38,59
2,0.5974,19882.57,36.0,0.0,1.0,BR,0,cat_820ba12,0.1463230244970148,496.0,120.0,1,,Y,2020-04-16 15:54:17,1.15,95
4,0.7283,171127.72,50.0,0.0,84.0,BR,7,cat_9391eea,0.7899900439641812,3716.0,339.0,1,,Y,2020-04-16 16:44:39,30.7,19
2,0.7191,260769.83,50.0,0.0,63.0,US,8,cat_c9954f9,0.5560698046933474,3534.0,1057.0,1,Y,Y,2020-04-16 17:02:05,42.82,24
4,0.7639,71761.8,13.0,0.0,12.0,BR,17,cat_6c4cfdc,0.967148913829309,3359.0,182.0,1,Y,Y,2020-04-16 18:05:04,31.49,44
4,0.8406,11653.51,50.0,0.4197183098591549,9.0,BR,13,cat_5d6059e,0.1183105814041418,878.0,543.0,1,,Y,2020-04-16 18:24:56,6.99,5
4,0.6744,1881.42,1.0,0.0,0.0,BR,4,cat_2bcfa17,0.7746725239960028,40.0,40.0,0,N,N,2020-04-16 19:07:20,35.4,83
4,0.75,1163.49,50.0,0.155937052932761,7.0,BR,1,cat_ffe7351,0.723839010170181,3958.0,1004.0,1,Y,Y,2020-04-16 21:44:15,13.41,33
4,0.8149,18367.48,39.0,0.0,2.0,BR,33,cat_794195b,0.741654694257015,1755.0,155.0,1,,N,2020-04-17 02:13:23,23.63,53
4,0.7769,74628.14,44.0,0.2159420289855072,6.0,BR,2,cat_89ea11f,0.9497378954449368,2722.0,887.0,1,,Y,2020-04-17 03:21:14,13.59,38
4,0.7072,337400.34,18.0,0.307002414625733,6.0,BR,12,cat_a11d605,0.3292973331841828,3183.0,123.0,0,N,N,2020-04-17 04:57:18,5.71,80
4,0.6813,53018.52,50.0,0.0,97.0,US,13,cat_2055808,0.4550211484956285,2414.0,777.0,1,,Y,2020-04-17 06:48:52,39.89,13
4,0.7717,11518.07,50.0,0.0,6.0,BR,3,cat_5c08917,0.0547574889899458,641.0,637.0,1,,Y,2020-04-17 07:15:04,25.72,82
4,0.6558,11164.78,50.0,0.215035839306551,9.0,BR,7,cat_63bdbc4,0.9153294333335146,1052.0,314.0,1,,Y,2020-04-17 08:13:29,11.81,65
4,0.76,18867.39,49.0,0.1699507389162561,1.0,BR,11,cat_960e53d,0.6982443195606791,502.0,140.0,1,,Y,2020-04-17 08:16:20,8.0,5
4,0.6824,3979.6,28.0,0.1673894848969032,14.0,UY,5,cat_d9a5942,0.7951079867040711,676.0,61.0,1,N,N,2020-04-17 09:20:06,18.0,46
4,0.8351,17170.33,50.0,0.1273613129327292,12.0,BR,5,cat_59a4e44,0.8499790428406974,1844.0,636.0,1,,Y,2020-04-17 09:30:00,23.04,24
4,0.8201,55954.97,50.0,0.0,14.0,BR,25,cat_faab8c5,0.8231267017530719,2781.0,642.0,1,N,Y,2020-04-17 09:56:11,29.54,48
